ticker,total_mentions,first_seen_utc,speculator_io,michaelsikand,zephyr_z9,kawzinvests,handles_count
WMB,1,2026-01-01 22:02 UTC,1,0,0,0,1
AZO,1,2026-01-01 22:02 UTC,1,0,0,0,1
ALL,1,2026-01-01 22:02 UTC,1,0,0,0,1
CBRE,1,2026-01-01 22:02 UTC,1,0,0,0,1
ETR,1,2026-01-01 22:02 UTC,1,0,0,0,1
UAL,1,2026-01-01 22:02 UTC,1,0,0,0,1
VIK,1,2026-01-01 22:02 UTC,1,0,0,0,1
PPG,1,2026-01-01 22:02 UTC,1,0,0,0,1
DVN,1,2026-01-01 22:02 UTC,1,0,0,0,1
RL,1,2026-01-01 22:02 UTC,1,0,0,0,1
MKC,1,2026-01-01 22:02 UTC,1,0,0,0,1
DKNG,1,2026-01-01 22:02 UTC,1,0,0,0,1
GWRE,1,2026-01-01 22:02 UTC,1,0,0,0,1
TRU,1,2026-01-01 22:02 UTC,1,0,0,0,1
ROKU,1,2026-01-01 22:02 UTC,1,0,0,0,1
RVMD,1,2026-01-01 22:02 UTC,1,0,0,0,1
AVY,1,2026-01-01 22:02 UTC,1,0,0,0,1
CELH,1,2026-01-01 22:02 UTC,1,0,0,0,1
GL,1,2026-01-01 22:02 UTC,1,0,0,0,1
VMI,1,2026-01-01 22:02 UTC,1,0,0,0,1
CMC,1,2026-01-01 22:02 UTC,1,0,0,0,1
MHK,1,2026-01-01 22:02 UTC,1,0,0,0,1
VLY,1,2026-01-01 22:02 UTC,1,0,0,0,1
PTGX,1,2026-01-05 22:04 UTC,1,0,0,0,1
INSM,1,2026-01-05 22:04 UTC,1,0,0,0,1
SNDX,1,2026-01-05 22:04 UTC,1,0,0,0,1
GIL,1,2026-01-05 22:04 UTC,1,0,0,0,1
USAS,1,2026-01-05 22:04 UTC,1,0,0,0,1
ZYME,1,2026-01-05 22:04 UTC,1,0,0,0,1
LCID,1,2026-01-05 22:04 UTC,1,0,0,0,1
ASND,1,2026-01-05 22:04 UTC,1,0,0,0,1
BBIO,1,2026-01-05 22:04 UTC,1,0,0,0,1
ARMN,1,2026-01-05 22:04 UTC,1,0,0,0,1
CDLR,1,2026-01-05 22:04 UTC,1,0,0,0,1
LMND,1,2026-01-05 22:04 UTC,1,0,0,0,1
DQ,1,2026-01-05 22:04 UTC,1,0,0,0,1
NGD,1,2026-01-05 22:04 UTC,1,0,0,0,1
AXSM,1,2026-01-05 22:04 UTC,1,0,0,0,1
RYTM,1,2026-01-05 22:04 UTC,1,0,0,0,1
MDGL,1,2026-01-05 22:04 UTC,1,0,0,0,1
NIO,1,2026-01-05 22:04 UTC,1,0,0,0,1
PSTG,1,2026-01-06 16:31 UTC,1,0,0,0,1
SYM,1,2026-01-06 20:44 UTC,1,0,0,0,1
HSAI,1,2026-01-06 20:44 UTC,1,0,0,0,1
ZETA,1,2026-01-06 20:44 UTC,1,0,0,0,1
DRS,1,2026-01-08 22:48 UTC,1,0,0,0,1
SAIC,1,2026-01-08 22:48 UTC,1,0,0,0,1
